#put your comments after a '#'.
#Z def name: Tight-ECAL-Loose-ECAL
#Bin       YMin       YMax    Entries
1       -5.5      -5.25          0
2      -5.25         -5          0
3         -5      -4.75          0
4      -4.75       -4.5          0
5       -4.5      -4.25          0
6      -4.25         -4          0
7         -4      -3.75          0
8      -3.75       -3.5          0
9       -3.5      -3.25          0
10      -3.25         -3          0
11         -3      -2.75          0
12      -2.75       -2.5          4
13       -2.5      -2.25        127
14      -2.25         -2        434
15         -2      -1.75        630
16      -1.75       -1.5        792
17       -1.5      -1.25       1014
18      -1.25         -1       1150
19         -1      -0.75       1207
20      -0.75       -0.5       1290
21       -0.5      -0.25       1352
22      -0.25          0       1311
23          0       0.25       1335
24       0.25        0.5       1310
25        0.5       0.75       1267
26       0.75          1       1169
27          1       1.25       1137
28       1.25        1.5        998
29        1.5       1.75        827
30       1.75          2        597
31          2       2.25        375
32       2.25        2.5        150
33        2.5       2.75          0
34       2.75          3          0
35          3       3.25          0
36       3.25        3.5          0
37        3.5       3.75          0
38       3.75          4          0
39          4       4.25          0
40       4.25        4.5          0
41        4.5       4.75          0
42       4.75          5          0
43          5       5.25          0
44       5.25        5.5          0
