#put your comments after a '#'.
#Z def name: Tight-ECAL-Loose-ECAL
#Bin       YMin       YMax    Entries
1       -5.5      -5.25          0
2      -5.25         -5          0
3         -5      -4.75          0
4      -4.75       -4.5          0
5       -4.5      -4.25          0
6      -4.25         -4          0
7         -4      -3.75          0
8      -3.75       -3.5          0
9       -3.5      -3.25          0
10      -3.25         -3          0
11         -3      -2.75          0
12      -2.75       -2.5          4
13       -2.5      -2.25        147
14      -2.25         -2        443
15         -2      -1.75        657
16      -1.75       -1.5        813
17       -1.5      -1.25       1026
18      -1.25         -1       1158
19         -1      -0.75       1191
20      -0.75       -0.5       1266
21       -0.5      -0.25       1320
22      -0.25          0       1285
23          0       0.25       1305
24       0.25        0.5       1281
25        0.5       0.75       1247
26       0.75          1       1171
27          1       1.25       1134
28       1.25        1.5       1012
29        1.5       1.75        856
30       1.75          2        616
31          2       2.25        412
32       2.25        2.5        166
33        2.5       2.75          1
34       2.75          3          0
35          3       3.25          0
36       3.25        3.5          0
37        3.5       3.75          0
38       3.75          4          0
39          4       4.25          0
40       4.25        4.5          0
41        4.5       4.75          0
42       4.75          5          0
43          5       5.25          0
44       5.25        5.5          0
