#put your comments after a '#'.
#Z def name: Tight-ECAL-Loose-ECAL
#Bin       YMin       YMax    Entries
1       -5.5      -5.25          0
2      -5.25         -5          0
3         -5      -4.75          0
4      -4.75       -4.5          0
5       -4.5      -4.25          0
6      -4.25         -4          0
7         -4      -3.75          0
8      -3.75       -3.5          0
9       -3.5      -3.25          0
10      -3.25         -3          0
11         -3      -2.75          0
12      -2.75       -2.5          0
13       -2.5      -2.25         25
14      -2.25         -2         68
15         -2      -1.75         98
16      -1.75       -1.5        147
17       -1.5      -1.25        182
18      -1.25         -1        205
19         -1      -0.75        215
20      -0.75       -0.5        214
21       -0.5      -0.25        224
22      -0.25          0        240
23          0       0.25        223
24       0.25        0.5        203
25        0.5       0.75        227
26       0.75          1        212
27          1       1.25        199
28       1.25        1.5        189
29        1.5       1.75        124
30       1.75          2        122
31          2       2.25         72
32       2.25        2.5         28
33        2.5       2.75          0
34       2.75          3          0
35          3       3.25          0
36       3.25        3.5          0
37        3.5       3.75          0
38       3.75          4          0
39          4       4.25          0
40       4.25        4.5          0
41        4.5       4.75          0
42       4.75          5          0
43          5       5.25          0
44       5.25        5.5          0
