#    ptBin     ptMin     ptMax   Value     Error
       1      -5.0      -4.9     0.00      0.00
       2      -4.9      -4.8     0.00      0.00
       3      -4.8      -4.7     0.00      0.00
       4      -4.7      -4.6     0.00      0.00
       5      -4.6      -4.5     0.00      0.00
       6      -4.5      -4.4     0.00      0.00
       7      -4.4      -4.3     0.00      0.00
       8      -4.3      -4.2     0.00      0.00
       9      -4.2      -4.1     0.00      0.00
      10      -4.1      -4.0     0.00      0.00
      11      -4.0      -3.9     0.00      0.00
      12      -3.9      -3.8     0.00      0.00
      13      -3.8      -3.7     0.00      0.00
      14      -3.7      -3.6     0.00      0.00
      15      -3.6      -3.5     0.00      0.00
      16      -3.5      -3.4     0.00      0.00
      17      -3.4      -3.3     0.00      0.00
      18      -3.3      -3.2     0.00      0.00
      19      -3.2      -3.1     0.00      0.00
      20      -3.1      -3.0     0.00      0.00
      21      -3.0      -2.9     0.00      0.00
      22      -2.9      -2.8     0.00      0.00
      23      -2.8      -2.7     0.00      0.00
      24      -2.7      -2.6     0.00      0.00
      25      -2.6      -2.5     0.00      0.00
      26      -2.5      -2.4     0.00      0.00
      27      -2.4      -2.3     0.01      0.01
      28      -2.3      -2.2     0.01      0.01
      29      -2.2      -2.1     0.03      0.01
      30      -2.1      -2.0     0.02      0.01
      31      -2.0      -1.9     0.04      0.02
      32      -1.9      -1.8     0.09      0.03
      33      -1.8      -1.7     0.11      0.03
      34      -1.7      -1.6     0.20      0.04
      35      -1.6      -1.5     0.20      0.04
      36      -1.5      -1.4     0.22      0.04
      37      -1.4      -1.3     0.19      0.04
      38      -1.3      -1.2     0.36      0.06
      39      -1.2      -1.1     0.51      0.08
      40      -1.1      -1.0     0.50      0.08
      41      -1.0      -0.9     0.48      0.08
      42      -0.9      -0.8     0.55      0.08
      43      -0.8      -0.7     0.64      0.09
      44      -0.7      -0.6     0.61      0.09
      45      -0.6      -0.5     0.70      0.10
      46      -0.5      -0.4     0.69      0.10
      47      -0.4      -0.3     0.81      0.11
      48      -0.3      -0.2     0.74      0.11
      49      -0.2      -0.1     0.95      0.13
      50      -0.1       0.0     0.81      0.11
      51       0.0       0.1     0.79      0.11
      52       0.1       0.2     0.87      0.12
      53       0.2       0.3     0.81      0.11
      54       0.3       0.4     0.74      0.11
      55       0.4       0.5     0.64      0.09
      56       0.5       0.6     0.79      0.11
      57       0.6       0.7     0.67      0.10
      58       0.7       0.8     0.63      0.09
      59       0.8       0.9     0.46      0.07
      60       0.9       1.0     0.47      0.07
      61       1.0       1.1     0.51      0.08
      62       1.1       1.2     0.52      0.08
      63       1.2       1.3     0.38      0.06
      64       1.3       1.4     0.26      0.05
      65       1.4       1.5     0.20      0.04
      66       1.5       1.6     0.19      0.04
      67       1.6       1.7     0.16      0.04
      68       1.7       1.8     0.13      0.03
      69       1.8       1.9     0.10      0.03
      70       1.9       2.0     0.07      0.02
      71       2.0       2.1     0.02      0.01
      72       2.1       2.2     0.01      0.01
      73       2.2       2.3     0.02      0.01
      74       2.3       2.4     0.00      0.00
      75       2.4       2.5     0.01      0.01
      76       2.5       2.6     0.00      0.00
      77       2.6       2.7     0.00      0.00
      78       2.7       2.8     0.00      0.00
      79       2.8       2.9     0.00      0.00
      80       2.9       3.0     0.00      0.00
      81       3.0       3.1     0.00      0.00
      82       3.1       3.2     0.00      0.00
      83       3.2       3.3     0.00      0.00
      84       3.3       3.4     0.00      0.00
      85       3.4       3.5     0.00      0.00
      86       3.5       3.6     0.00      0.00
      87       3.6       3.7     0.00      0.00
      88       3.7       3.8     0.00      0.00
      89       3.8       3.9     0.00      0.00
      90       3.9       4.0     0.00      0.00
      91       4.0       4.1     0.00      0.00
      92       4.1       4.2     0.00      0.00
      93       4.2       4.3     0.00      0.00
      94       4.3       4.4     0.00      0.00
      95       4.4       4.5     0.00      0.00
      96       4.5       4.6     0.00      0.00
      97       4.6       4.7     0.00      0.00
      98       4.7       4.8     0.00      0.00
      99       4.8       4.9     0.00      0.00
     100       4.9       5.0     0.00      0.00
